id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
34579f00,780E36,1,31100,442,,A320,B-MCB,1710304807,MFM,PEK,NX2,NX,0,0,AMU002,AMU
3457a76d,78041B,112,11475,348,,A321,B-MBA,1710304812,MFM,HGH,NX226,NX,0,960,AMU226,AMU
3457afa8,781878,320,0,0,,A21N,B-MBR,1710304793,KIX,MFM,NX855,NX,1,0,AMU855,AMU
34575b81,7816AF,72,34975,569,,A20N,B-MBO,1710304813,MFM,NRT,NX862,NX,0,0,AMU862,AMU
34577cfc,781B47,213,31000,473,,A21N,B-MBS,1710304813,MFM,SIN,NX908,NX,0,0,AMU908,AMU
345761f5,78041C,208,31975,467,,A321,B-MBB,1710304811,MFM,KUL,NX922,NX,0,-64,AMU922,AMU
345799fc,781307,50,32975,480,,A320,B-MCH,1710304812,BKK,MFM,NX995,NX,0,0,AMU995,AMU
34579638,780EB3,261,30075,370,,A321,B-MCC,1710304811,HFE,TFU,CA2606,CA,0,0,CCA2606,AMU
34569eb8,78007E,141,35100,523,,B744,B-2475,1710304786,AMS,PVG,CAO1024,CA,0,0,CAO1024,CAO
3455a3c0,780BB8,166,35100,509,,B77L,B-2097,1710304786,ORD,PVG,CAO1046,CA,0,0,CAO1046,CAO
34574215,780BB6,315,32000,486,,B77L,B-2095,1710304786,JFK,PVG,CA1078,CA,0,0,CAO1078,CAO
3456638a,780C5C,172,33100,498,,B77L,B-2092,1710304787,MXP,PVG,CAO3118,CA,0,0,CAO3118,CAO
3456dcf6,781E95,266,32000,438,,B77L,B-222S,1710304784,PEK,MXP,CAO3123,CA,0,0,CAO3123,CAO
3457220b,780D8F,314,36000,450,,B77L,B-2094,1710304787,LAX,SZX,CAO3126,CA,0,0,CAO3126,CAO
34563256,780C5D,157,35100,505,,B77L,B-2093,1710304783,MAD,HGH,CAO3136,CA,0,0,CAO3136,CAO
345620d1,780C5B,241,34000,462,,B77L,B-2091,1710304782,PVG,MAD,CAO8403,CA,0,0,CAO8403,CAO
345781eb,7807B9,267,15700,308,,E190,B-3185,1710304775,FOC,YIH,GX2026,GX,0,0,CBG2026,CBG
34579e3f,780732,182,21500,349,,E190,B-3178,1710304801,YIH,HUZ,GX2041,GX,0,-1152,CBG2041,CBG
345798e2,781089,58,31100,476,,A320,B-8733,1710304787,TFU,TNA,GX7882,GX,0,0,CBG7882,CBG
34577f5c,7804C0,61,8550,311,,E190,B-3122,1710304799,CSX,YLX,GX7893,GX,0,-1280,CBG7894,CBG
34578cd8,7809AF,309,18350,365,,E190,B-3215,1710304802,SWA,FUG,GX8804,GX,0,-1600,CBG8804,CBG
3457ac61,78037D,256,18750,375,,A320,B-8169,1710304787,JNG,CKG,GX8808,GX,0,1728,CBG8808,CBG
345793e6,780777,65,12800,353,,E190,B-3179,1710304799,NNG,CGD,GX8853,GX,0,0,CBG8853,CBG
34579966,78163E,30,31100,488,,A20N,B-306R,1710304799,HAK,FUG,GX8893,GX,0,0,CBG8893,CBG
3457aa82,7815CA,15,22600,442,,A20N,B-304W,1710304787,YIH,URC,GX8915,GX,0,0,CBG8915,CBG
34579deb,780428,8,31000,468,,A320,B-8655,1710304801,BKK,UYN,GX8998,GX,0,0,CBG8998,CBG
34575fa6,78193B,237,34000,448,,A21N,B-30F1,1710304793,HGH,BKK,JD419,JD,0,0,CBJ419,CBJ
3456ff5c,7815D9,226,36000,446,,A333,B-305R,1710304794,PKX,MLE,JD455,JD,0,0,CBJ455,CBJ
34573752,780E67,325,38000,466,,A332,B-8019,1710304792,MEL,TAO,JD462,JD,0,0,CBJ462,CBJ
34575b13,780EC5,278,11000,258,,A321,B-8200,1710304787,HGH,KMG,JD5127,JD,0,-512,CBJ5127,CBJ
34579a0e,78137B,70,29100,508,,A20N,B-1246,1710304787,KMG,HGH,JD5138,JD,0,0,CBJ5138,CBJ
34579c9d,780EA0,174,32075,478,,A321,B-8107,1710304792,XIY,SYX,JD5176,JD,0,64,CBJ5176,CBJ
34579571,781298,142,33100,494,,A321,B-1013,1710304791,TFU,SYX,JD5178,JD,0,0,CBJ5178,CBJ
34579dda,780D39,161,33100,483,,A320,B-1622,1710304787,TFU,SYX,JD5188,JD,0,0,CBJ5188,CBJ
34578cb2,780D46,195,4650,170,,A320,B-1623,1710304763,CKG,CAN,JD5228,JD,0,-512,CBJ5228,CBJ
34578bec,780E66,69,14925,322,,A320,B-8072,1710304787,AKA,HGH,JD5248,JD,0,-896,CBJ5248,CBJ
3457a653,781299,241,11750,350,,A321,B-1015,1710304789,HGH,TFU,JD5259,JD,0,320,CBJ5259,CBJ
34578fef,7804D4,211,30075,394,,A319,B-6178,1710304795,HZA,HAK,JD5266,JD,0,64,CBJ5266,CBJ
34578101,780C0C,195,27600,434,,A320,B-1811,1710304791,HCZ,HAK,JD5306,JD,0,0,CBJ5306,CBJ
34578665,780C0B,255,29900,381,,A320,B-1810,1710304795,JXA,PKX,JD5316,JD,0,-1152,CBJ5316,CBJ
34578278,7806F6,4,33150,437,,A320,B-6747,1710304787,HAK,SHE,JD5335,JD,0,0,CBJ5335,CBJ
34578b8e,780779,244,30125,378,,A320,B-6795,1710304787,HFE,LJG,JD5346,JD,0,0,CBJ5346,CBJ
3457a0a6,780D38,206,32100,413,,A320,B-1621,1710304787,CGO,HAK,JD5374,JD,0,0,CBJ5374,CBJ
345789e0,7800D5,18,33100,454,,A319,B-6215,1710304781,LJG,SJW,JD5525,JD,0,0,CBJ5525,CBJ
3457ae19,7806BD,187,16700,342,,A320,B-6726,1710304794,HIA,JJN,JD5528,JD,0,64,CBJ5528,CBJ
3457add3,781538,184,8950,294,,A321,B-302U,1710304791,LYI,SYX,JD5542,JD,0,640,CBJ5542,CBJ
3457a784,781539,51,31100,505,,A321,B-302V,1710304791,TFU,PKX,JD5560,JD,0,0,CBJ5560,CBJ
34578d33,780EC8,349,30075,422,,A321,B-8188,1710304792,KHN,HET,JD5601,JD,0,0,CBJ5601,CBJ
34579cdf,781297,18,31100,466,,A321,B-1012,1710304795,WUH,SHE,JD5627,JD,0,64,CBJ5627,CBJ
34577f33,781B39,201,38075,383,,A20N,B-322M,1710304792,PKX,KMG,JD5629,JD,0,0,CBJ5629,CBJ
34578132,780692,243,36100,364,,A320,B-6709,1710304789,CGO,LJG,JD5646,JD,0,0,CBJ5646,CBJ
3457a03c,78085B,177,22600,388,,A320,B-6858,1710304787,YIH,KWE,JD5689,JD,0,0,CBJ5689,CBJ
34578a6e,78137E,143,22475,445,,A20N,B-1249,1710304793,CKG,HGH,JD5692,JD,0,-960,CBJ5692,CBJ
3457ab9f,7806BE,271,14800,312,,A320,B-6727,1710304790,TSN,LJG,JD5740,JD,0,0,CBJ5740,CBJ
34579241,780FCE,5,33125,436,,A321,B-8553,1710304792,HAK,TNA,JD5795,JD,0,0,CBJ5795,CBJ
3457983b,78137A,67,35100,532,,A20N,B-1245,1710304788,JHG,PVG,JD5830,JD,0,0,CBJ5830,CBJ
34577456,78085D,26,20700,383,,A320,B-6769,1710304787,HAK,SJW,JD5881,JD,0,0,CBJ5881,CBJ
34578908,780E8F,49,7650,277,,A320,B-8171,1710304772,SJW,CGQ,JD5915,JD,0,-1088,CBJ5915,CBJ
34578b35,7804D8,198,11050,146,,A319,B-6182,1710304787,BZX,LJG,JD5944,JD,0,-896,CBJ5944,CBJ
34578df6,780B6F,17,35525,440,,A320,B-9962,1710304795,KWE,PKX,JD5960,JD,0,0,CBJ5960,CBJ
345797df,780518,24,31100,461,,A320,B-6725,1710304792,HAK,HGH,JD5969,JD,0,0,CBJ5969,CBJ
3455d43e,78131E,216,39000,460,,A332,B-1043,1710304794,HGH,MAD,JD605,JD,0,0,CBJ605,CBJ
3457a286,781B3E,239,25600,354,,A21N,B-322L,1710304787,NKG,BKK,JD619,JD,0,0,CBJ619,CBJ
