id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
34579f00,780E36,349,14800,360,,A320,B-MCB,1710303644,MFM,PEK,NX2,NX,0,320,AMU002,AMU
3457799b,781600,4,16825,395,,A320,B-MCI,1710303643,MFM,SHA,NX110,NX,0,0,AMU110,AMU
3457a76d,78041B,216,0,0,,A321,B-MBA,1710303635,MFM,HGH,NX226,NX,1,0,AMU226,AMU
34577315,780EC4,180,0,4,,A320,B-MCF,1710303644,TPE,MFM,NX631,NX,1,0,AMU631,AMU
34575b81,7816AF,70,34975,559,,A20N,B-MBO,1710303644,MFM,NRT,NX862,NX,0,0,AMU862,AMU
34577cfc,781B47,212,31000,478,,A21N,B-MBS,1710303644,MFM,SIN,NX908,NX,0,0,AMU908,AMU
345761f5,78041C,211,31975,466,,A321,B-MBB,1710303643,MFM,KUL,NX922,NX,0,0,AMU922,AMU
345799fc,781307,61,28375,469,,A320,B-MCH,1710303644,BKK,MFM,NX995,NX,0,832,AMU995,AMU
34579638,780EB3,267,30075,371,,A321,B-MCC,1710303647,HFE,TFU,CA2606,CA,0,0,CCA2606,AMU
34569eb8,78007E,139,35100,516,,B744,B-2475,1710303615,AMS,PVG,CAO1024,CA,0,0,CAO1024,CAO
3455a3c0,780BB8,209,34100,454,,B77L,B-2097,1710303619,ORD,PVG,CAO1046,CA,0,0,CAO1046,CAO
34574215,780BB6,321,32000,488,,B77L,B-2095,1710303615,JFK,PVG,CA1078,CA,0,0,CAO1078,CAO
3456638a,780C5C,114,33100,519,,B77L,B-2092,1710303615,MXP,PVG,CAO3118,CA,0,0,CAO3118,CAO
3456dcf6,781E95,271,32000,441,,B77L,B-222S,1710303615,PEK,MXP,CAO3123,CA,0,0,CAO3123,CAO
3457220b,780D8F,314,36000,429,,B77L,B-2094,1710303616,LAX,SZX,CAO3126,CA,0,0,CAO3126,CAO
34563256,780C5D,148,35100,516,,B77L,B-2093,1710303617,MAD,HGH,CAO3136,CA,0,-64,CAO3136,CAO
345620d1,780C5B,245,34000,476,,B77L,B-2091,1710303618,PVG,MAD,CAO8403,CA,0,0,CAO8403,CAO
345781eb,7807B9,277,21700,330,,E190,B-3185,1710303627,FOC,YIH,GX2026,GX,0,64,CBG2026,CBG
34579e3f,780732,122,22600,409,,E190,B-3178,1710303631,YIH,HUZ,GX2041,GX,0,0,CBG2041,CBG
345798e2,781089,86,31100,496,,A320,B-8733,1710303630,TFU,TNA,GX7882,GX,0,0,CBG7882,CBG
34577f5c,7804C0,33,24600,433,,E190,B-3122,1710303635,CSX,YLX,GX7893,GX,0,64,CBG7894,CBG
34578cd8,7809AF,3,23600,416,,E190,B-3215,1710303627,SWA,FUG,GX8804,GX,0,0,CBG8804,CBG
345793e6,780777,3,22600,412,,E190,B-3179,1710303627,NNG,CGD,GX8853,GX,0,0,CBG8853,CBG
34577bd7,781F9F,45,13125,343,,A320,B-32DD,1710303635,HAK,WHA,GX8877,GX,0,-448,CBG8877,CBG
34579966,78163E,30,29825,455,,A20N,B-306R,1710303633,HAK,FUG,GX8893,GX,0,1024,CBG8893,CBG
34579deb,780428,9,12925,304,,A320,B-8655,1710303634,BKK,UYN,GX8998,GX,0,2816,CBG8998,CBG
34575fa6,78193B,230,34000,439,,A21N,B-30F1,1710303622,HGH,BKK,JD419,JD,0,0,CBJ419,CBJ
3456ff5c,7815D9,227,36000,438,,A333,B-305R,1710303621,PKX,MLE,JD455,JD,0,0,CBJ455,CBJ
34573752,780E67,307,38000,468,,A332,B-8019,1710303619,MEL,TAO,JD462,JD,0,0,CBJ462,CBJ
34575b13,780EC5,258,27575,375,,A321,B-8200,1710303623,HGH,KMG,JD5127,JD,0,0,CBJ5127,CBJ
34579a0e,78137B,90,31150,532,,A20N,B-1246,1710303620,KMG,HGH,JD5138,JD,0,0,CBJ5138,CBJ
34579c9d,780EA0,217,27600,434,,A321,B-8107,1710303619,XIY,SYX,JD5176,JD,0,-64,CBJ5176,CBJ
34579571,781298,173,33125,467,,A321,B-1013,1710303623,TFU,SYX,JD5178,JD,0,0,CBJ5178,CBJ
34579dda,780D39,153,33100,493,,A320,B-1622,1710303623,TFU,SYX,JD5188,JD,0,0,CBJ5188,CBJ
34578cb2,780D46,90,10375,335,,A320,B-1623,1710303617,CKG,CAN,JD5228,JD,0,-960,CBJ5228,CBJ
34578bec,780E66,62,26650,483,,A320,B-8072,1710303623,AKA,HGH,JD5248,JD,0,64,CBJ5248,CBJ
3457a653,781299,152,0,3,,A321,B-1015,1710303585,HGH,TFU,JD5259,JD,1,0,CBJ5259,CBJ
34578fef,7804D4,252,27600,385,,A319,B-6178,1710303617,HZA,HAK,JD5266,JD,0,0,CBJ5266,CBJ
34578101,780C0C,180,25600,466,,A320,B-1811,1710303619,HCZ,HAK,JD5306,JD,0,0,CBJ5306,CBJ
34578665,780C0B,260,34075,383,,A320,B-1810,1710303623,JXA,PKX,JD5316,JD,0,0,CBJ5316,CBJ
34578278,7806F6,359,33100,407,,A320,B-6747,1710303623,HAK,SHE,JD5335,JD,0,-64,CBJ5335,CBJ
34578b8e,780779,243,30100,372,,A320,B-6795,1710303623,HFE,LJG,JD5346,JD,0,0,CBJ5346,CBJ
3457a0a6,780D38,184,27600,449,,A320,B-1621,1710303621,CGO,HAK,JD5374,JD,0,0,CBJ5374,CBJ
345789e0,7800D5,27,33100,466,,A319,B-6215,1710303620,LJG,SJW,JD5525,JD,0,64,CBJ5525,CBJ
34574f3d,780FA5,88,5875,222,,A321,B-8542,1710303563,SYX,SJW,JD5531,JD,0,-1280,CBJ5531,CBJ
3457a784,781539,31,10550,284,,A321,B-302V,1710303620,TFU,PKX,JD5560,JD,0,2496,CBJ5560,CBJ
34578d33,780EC8,339,30100,426,,A321,B-8188,1710303621,KHN,HET,JD5601,JD,0,0,CBJ5601,CBJ
34579cdf,781297,5,24600,444,,A321,B-1012,1710303623,WUH,SHE,JD5627,JD,0,0,CBJ5627,CBJ
34577f33,781B39,193,38125,410,,A20N,B-322M,1710303623,PKX,KMG,JD5629,JD,0,64,CBJ5629,CBJ
34578132,780692,187,36100,415,,A320,B-6709,1710303620,CGO,LJG,JD5646,JD,0,0,CBJ5646,CBJ
3457a03c,78085B,223,21700,404,,A320,B-6858,1710303619,YIH,KWE,JD5689,JD,0,-64,CBJ5689,CBJ
34578a6e,78137E,69,26600,452,,A20N,B-1249,1710303622,CKG,HGH,JD5692,JD,0,0,CBJ5692,CBJ
3457868a,780EC6,48,22500,447,,A321,B-8189,1710303615,SYX,CSX,JD5765,JD,0,0,CBJ5765,CBJ
34579241,780FCE,22,33125,478,,A321,B-8553,1710303621,HAK,TNA,JD5795,JD,0,0,CBJ5795,CBJ
3457983b,78137A,57,35075,519,,A20N,B-1245,1710303619,JHG,PVG,JD5830,JD,0,0,CBJ5830,CBJ
34577456,78085D,27,33125,466,,A320,B-6769,1710303615,HAK,SJW,JD5881,JD,0,0,CBJ5881,CBJ
34578908,780E8F,86,26600,437,,A320,B-8171,1710303619,SJW,CGQ,JD5915,JD,0,0,CBJ5915,CBJ
34574030,780DF1,90,1900,146,,A320,B-1691,1710303615,TAO,HAK,JD5930,JD,0,-256,CBJ5930,CBJ
34578b35,7804D8,234,27825,374,,A319,B-6182,1710303623,BZX,LJG,JD5944,JD,0,0,CBJ5944,CBJ
34578df6,780B6F,26,37075,459,,A320,B-9962,1710303620,KWE,PKX,JD5960,JD,0,-192,CBJ5960,CBJ
345797df,780518,38,33100,488,,A320,B-6725,1710303621,HAK,HGH,JD5969,JD,0,-64,CBJ5969,CBJ
3455d43e,78131E,223,38000,468,,A332,B-1043,1710303620,HGH,MAD,JD605,JD,0,0,CBJ605,CBJ
3457a286,781B3E,269,15700,331,,A21N,B-322L,1710303615,NKG,BKK,JD619,JD,0,0,CBJ619,CBJ
3457a7e9,780B5D,278,4475,178,,B738,B-5851,1710303623,DLC,HKG,CA105,CA,0,1216,CCA105,CCA
3457a089,781B58,274,21700,329,,AJ27,B-650W,1710303619,PEK,BAV,CA1107,CA,0,0,CCA1107,CCA
3457628c,78086C,41,8525,273,,B77W,B-2031,1710303625,PEK,HKG,CA111,CA,0,-1920,CCA111,CCA
34579fcb,780699,242,25600,373,,B738,B-1956,1710303627,PEK,YCU,CA1127,CA,0,0,CCA1127,CCA
34577912,7800BB,331,12400,216,,B737,B-5214,1710303623,PEK,LHW,CA1207,CA,0,-1024,CCA1207,CCA
34579df7,780D80,276,27600,356,,B738,B-1761,1710303623,PEK,XIY,CA1223,CA,0,0,CCA1223,CCA
34578e14,7803F8,91,31100,482,,B738,B-5343,1710303623,XIY,PEK,CA1232,CA,0,0,CCA1232,CCA
34579f4e,7803F5,169,5975,268,,A321,B-6327,1710303623,ICN,PEK,CA124,CA,0,3264,CCA124,CCA
